vehicles,users
43128,287855
84399,545931
132055,867716
173719,1131178
193598,1247159
235263,1525203
282487,1869226
330696,2236467
378398,2601721
428054,3030453
476977,3447524
531733,3502280
63878,660953
121910,1167767
159624,1472663
160850,1477742
167122,1487550
178357,1520247
196269,1588522
217262,1681928
251579,1885318
292437,2140612
333360,2412679
379884,2747902
65999,666824
124214,1150817
189065,1686707
251321,2250517
315925,2794729
377519,3383637
440932,3972643
505668,4567828
568442,5139520
632656,5748700
693345,6334214
758964,7055540
66399,663006
123798,1146501
188154,1734878
251847,2283064
317122,2838391
380089,3412791
445443,4013513
510514,4594753
573442,5152888
638327,5735859
700928,6293484
768603,7006829
68053,677485
